Dates,Time,Category,DayOfWeek,PdDistrict,Resolution                                                                        ,
14/01/2010,12:45:00,LARCENY\/THEFT,Thursday,CENTRAL,NONE,
12/01/2007,07:45:00,VANDALISM,Friday,TARAVAL,NONE,
26/06/2007,20:00:00,ROBBERY,Tuesday,CENTRAL,NONE,
25/01/2012,10:30:00,RUNAWAY,Wednesday,BAYVIEW,LOCATED,
12/11/2004,10:35:00,PROSTITUTION,Friday,MISSION,ARREST,CITED
07/09/2007,22:00:00,WARRANTS,Friday,BAYVIEW,ARREST,CITED
17/01/2010,16:00:00,LARCENY\/THEFT,Sunday,BAYVIEW,NONE,
14/11/2011,21:45:00,LARCENY\/THEFT,Monday,NORTHERN,NONE,
16/11/2008,13:00:00,ROBBERY,Sunday,BAYVIEW,NONE,
20/04/2003,19:25:00,ASSAULT,Sunday,MISSION,NONE,
23/01/2009,00:01:00,LARCENY\/THEFT,Friday,BAYVIEW,NONE,
21/03/2014,17:45:00,WEAPON LAWS,Friday,BAYVIEW,ARREST,BOOKED
13/06/2006,17:30:00,ROBBERY,Tuesday,SOUTHERN,ARREST,BOOKED
20/10/2011,22:00:00,NON-CRIMINAL,Thursday,RICHMOND,NONE,
31/10/2014,13:30:00,ROBBERY,Friday,MISSION,NONE,
20/01/2009,13:18:00,NON-CRIMINAL,Tuesday,CENTRAL,PSYCHOPATHIC CASE,
22/05/2010,21:01:00,DRUG\/NARCOTIC,Saturday,TENDERLOIN,ARREST,BOOKED
01/01/2011,08:00:00,NON-CRIMINAL,Saturday,SOUTHERN,NONE,
29/12/2005,12:00:00,VEHICLE THEFT,Thursday,SOUTHERN,NONE,
24/01/2004,13:39:00,OTHER OFFENSES,Saturday,TENDERLOIN,ARREST,BOOKED
22/01/2015,13:00:00,NON-CRIMINAL,Thursday,CENTRAL,NONE,
12/06/2012,17:45:00,BURGLARY,Tuesday,BAYVIEW,NONE,
01/11/2014,04:18:00,LARCENY\/THEFT,Saturday,PARK,NONE,
25/08/2013,20:00:00,ASSAULT,Sunday,BAYVIEW,NONE,
18/04/2003,19:00:00,LARCENY\/THEFT,Friday,SOUTHERN,NONE,
08/04/2012,11:00:00,SUSPICIOUS OCC,Sunday,TENDERLOIN,JUVENILE ADMONISHED,
24/08/2010,09:39:00,DRUG\/NARCOTIC,Tuesday,MISSION,NONE,
14/08/2011,02:30:00,ROBBERY,Sunday,MISSION,NONE,
25/06/2004,00:30:00,ASSAULT,Friday,RICHMOND,NONE,
23/12/2014,22:07:00,ROBBERY,Tuesday,MISSION,NONE,
18/05/2005,07:31:00,DRUG\/NARCOTIC,Wednesday,MISSION,ARREST,BOOKED
28/06/2009,20:00:00,LARCENY\/THEFT,Sunday,NORTHERN,NONE,
03/05/2007,00:01:00,BAD CHECKS,Thursday,TENDERLOIN,NONE,
01/10/2004,07:00:00,MISSING PERSON,Friday,MISSION,LOCATED,
21/10/2006,02:21:00,NON-CRIMINAL,Saturday,SOUTHERN,PSYCHOPATHIC CASE,
31/10/2003,10:00:00,VEHICLE THEFT,Friday,RICHMOND,NONE,
05/05/2010,00:01:00,SUSPICIOUS OCC,Wednesday,BAYVIEW,NONE,
23/08/2009,00:21:00,WEAPON LAWS,Sunday,INGLESIDE,NONE,
15/07/2006,12:46:00,OTHER OFFENSES,Saturday,SOUTHERN,ARREST,CITED
19/01/2009,03:00:00,OTHER OFFENSES,Monday,SOUTHERN,ARREST,BOOKED
25/12/2014,21:32:00,STOLEN PROPERTY,Thursday,MISSION,ARREST,BOOKED
20/05/2006,10:30:00,LARCENY\/THEFT,Saturday,NORTHERN,NONE,
11/07/2006,13:12:00,DRUG\/NARCOTIC,Tuesday,BAYVIEW,ARREST,BOOKED
26/06/2006,05:00:00,LARCENY\/THEFT,Monday,TARAVAL,NONE,
25/01/2007,14:48:00,DRUG\/NARCOTIC,Thursday,TENDERLOIN,ARREST,BOOKED
09/02/2014,00:01:00,STOLEN PROPERTY,Sunday,TENDERLOIN,ARREST,BOOKED
09/04/2005,17:15:00,OTHER OFFENSES,Saturday,INGLESIDE,ARREST,BOOKED
13/10/2008,00:01:00,ASSAULT,Monday,SOUTHERN,NONE,
11/07/2004,11:00:00,FORGERY\/COUNTERFEITING,Sunday,PARK,NONE,
24/06/2008,11:10:00,DRUG\/NARCOTIC,Tuesday,MISSION,ARREST,BOOKED
24/06/2004,11:00:00,ASSAULT,Thursday,MISSION,NONE,
28/02/2010,21:55:00,SUSPICIOUS OCC,Sunday,TARAVAL,NONE,
03/09/2003,17:35:00,GAMBLING,Wednesday,TARAVAL,ARREST,CITED
07/09/2006,00:01:00,FORGERY\/COUNTERFEITING,Thursday,INGLESIDE,NONE,
10/03/2013,11:30:00,BURGLARY,Sunday,NORTHERN,NONE,
01/04/2013,13:00:00,ASSAULT,Monday,CENTRAL,NONE,
18/05/2014,12:30:00,NON-CRIMINAL,Sunday,PARK,NONE,
01/01/2011,00:01:00,FORGERY\/COUNTERFEITING,Saturday,SOUTHERN,NONE,
10/07/2012,12:30:00,LARCENY\/THEFT,Tuesday,MISSION,NONE,
03/10/2005,00:55:00,SEX OFFENSES FORCIBLE,Monday,MISSION,ARREST,BOOKED
15/07/2006,00:29:00,VANDALISM,Saturday,INGLESIDE,NONE,
04/05/2008,01:30:00,BURGLARY,Sunday,MISSION,NONE,
16/03/2015,11:55:00,NON-CRIMINAL,Monday,TARAVAL,NONE,
20/08/2013,12:00:00,NON-CRIMINAL,Tuesday,SOUTHERN,NOT PROSECUTED,
07/02/2008,17:29:00,LARCENY\/THEFT,Thursday,MISSION,ARREST,CITED
06/01/2004,18:30:00,LARCENY\/THEFT,Tuesday,CENTRAL,NONE,
10/09/2005,10:00:00,LARCENY\/THEFT,Saturday,SOUTHERN,ARREST,BOOKED
14/08/2010,20:20:00,NON-CRIMINAL,Saturday,MISSION,PSYCHOPATHIC CASE,
25/06/2007,18:30:00,MISSING PERSON,Monday,CENTRAL,LOCATED,
04/09/2014,22:12:00,WARRANTS,Thursday,SOUTHERN,ARREST,BOOKED
31/07/2010,23:00:00,VEHICLE THEFT,Saturday,SOUTHERN,NONE,
09/07/2007,19:33:00,ROBBERY,Monday,BAYVIEW,JUVENILE BOOKED,
08/02/2015,14:40:00,ROBBERY,Sunday,SOUTHERN,NONE,
24/03/2013,14:30:00,NON-CRIMINAL,Sunday,TARAVAL,NONE,
06/09/2006,12:19:00,VEHICLE THEFT,Wednesday,TENDERLOIN,NONE,
06/03/2003,16:46:00,WARRANTS,Thursday,SOUTHERN,ARREST,BOOKED
01/05/2003,06:00:00,ASSAULT,Thursday,RICHMOND,NONE,
07/01/2013,15:50:00,LARCENY\/THEFT,Monday,SOUTHERN,JUVENILE ADMONISHED,
22/09/2005,19:00:00,ASSAULT,Thursday,NORTHERN,NONE,
26/11/2004,23:30:00,LARCENY\/THEFT,Friday,TARAVAL,NONE,
05/10/2006,18:30:00,ASSAULT,Thursday,BAYVIEW,ARREST,CITED
09/07/2007,20:35:00,ASSAULT,Monday,MISSION,NONE,
30/09/2009,14:16:00,WARRANTS,Wednesday,NORTHERN,ARREST,BOOKED
16/12/2012,16:45:00,NON-CRIMINAL,Sunday,CENTRAL,NONE,
14/07/2005,20:37:00,WARRANTS,Thursday,BAYVIEW,NONE,
25/12/2006,13:30:00,DRUG\/NARCOTIC,Monday,NORTHERN,ARREST,CITED
15/07/2012,20:30:00,BURGLARY,Sunday,INGLESIDE,NONE,
06/02/2003,08:52:00,DRUG\/NARCOTIC,Thursday,TENDERLOIN,ARREST,BOOKED
02/07/2011,00:50:00,SUSPICIOUS OCC,Saturday,MISSION,NONE,
20/09/2007,06:27:00,WARRANTS,Thursday,INGLESIDE,ARREST,BOOKED
12/11/2008,17:00:00,LARCENY\/THEFT,Wednesday,TENDERLOIN,NONE,
25/01/2011,20:15:00,NON-CRIMINAL,Tuesday,INGLESIDE,ARREST,BOOKED
18/09/2006,15:00:00,NON-CRIMINAL,Monday,SOUTHERN,NONE,
02/04/2013,13:00:00,ASSAULT,Tuesday,SOUTHERN,ARREST,BOOKED
22/02/2014,01:30:00,LARCENY\/THEFT,Saturday,SOUTHERN,NONE,
03/02/2009,22:00:00,LARCENY\/THEFT,Tuesday,PARK,NONE,
21/08/2004,00:30:00,LARCENY\/THEFT,Saturday,SOUTHERN,NONE,
29/10/2007,21:42:00,VANDALISM,Monday,INGLESIDE,ARREST,BOOKED
29/12/2013,21:50:00,VANDALISM,Sunday,MISSION,ARREST,BOOKED
05/08/2008,13:22:00,OTHER OFFENSES,Tuesday,TARAVAL,ARREST,CITED
09/03/2003,06:45:00,LARCENY\/THEFT,Sunday,PARK,NONE,
23/08/2013,15:30:00,LARCENY\/THEFT,Friday,TARAVAL,NONE,
05/10/2014,02:04:00,NON-CRIMINAL,Sunday,NORTHERN,NONE,
25/02/2011,09:35:00,DRUG\/NARCOTIC,Friday,SOUTHERN,ARREST,CITED
08/01/2008,20:30:00,DRUG\/NARCOTIC,Tuesday,TENDERLOIN,ARREST,BOOKED
17/04/2015,12:22:00,SUSPICIOUS OCC,Friday,RICHMOND,NONE,
21/08/2014,13:10:00,ASSAULT,Thursday,INGLESIDE,NONE,
08/01/2015,20:00:00,ARSON,Thursday,TARAVAL,NONE,
15/10/2013,00:30:00,LARCENY\/THEFT,Tuesday,CENTRAL,NONE,
13/03/2010,17:46:00,OTHER OFFENSES,Saturday,SOUTHERN,ARREST,BOOKED
29/07/2006,11:00:00,VEHICLE THEFT,Saturday,MISSION,NONE,
29/07/2011,02:36:00,SUSPICIOUS OCC,Friday,CENTRAL,NONE,
13/04/2015,11:51:00,SUSPICIOUS OCC,Monday,INGLESIDE,NONE,
09/07/2012,02:04:00,WARRANTS,Monday,BAYVIEW,ARREST,BOOKED
14/05/2009,15:09:00,ASSAULT,Thursday,NORTHERN,ARREST,BOOKED
25/07/2003,14:19:00,NON-CRIMINAL,Friday,MISSION,NONE,
12/06/2004,01:30:00,MISSING PERSON,Saturday,SOUTHERN,LOCATED,
15/12/2012,22:00:00,LARCENY\/THEFT,Saturday,CENTRAL,NONE,
21/05/2006,15:30:00,ROBBERY,Sunday,CENTRAL,DISTRICT ATTORNEY REFUSES TO PROSECUTE,
10/02/2013,21:00:00,LARCENY\/THEFT,Sunday,TARAVAL,NONE,
16/10/2007,23:40:00,ASSAULT,Tuesday,MISSION,ARREST,CITED
25/03/2010,21:50:00,VANDALISM,Thursday,BAYVIEW,NONE,
01/05/2007,15:03:00,DRUG\/NARCOTIC,Tuesday,MISSION,ARREST,BOOKED
22/08/2003,10:36:00,LARCENY\/THEFT,Friday,TARAVAL,ARREST,CITED
05/11/2010,14:00:00,SUSPICIOUS OCC,Friday,MISSION,NONE,
27/12/2009,10:43:00,NON-CRIMINAL,Sunday,SOUTHERN,NONE,
07/08/2009,18:25:00,KIDNAPPING,Friday,BAYVIEW,ARREST,BOOKED
07/03/2009,16:15:00,LARCENY\/THEFT,Saturday,INGLESIDE,NONE,
26/06/2003,18:26:00,FRAUD,Thursday,NORTHERN,NONE,
16/08/2004,01:45:00,ASSAULT,Monday,NORTHERN,NONE,
18/09/2003,21:50:00,OTHER OFFENSES,Thursday,CENTRAL,ARREST,CITED
02/07/2010,14:31:00,SUSPICIOUS OCC,Friday,MISSION,COMPLAINANT REFUSES TO PROSECUTE,
30/04/2013,18:25:00,ASSAULT,Tuesday,INGLESIDE,COMPLAINANT REFUSES TO PROSECUTE,
09/01/2012,08:00:00,LARCENY\/THEFT,Monday,SOUTHERN,NONE,
18/10/2008,14:00:00,LARCENY\/THEFT,Saturday,BAYVIEW,NONE,
24/01/2012,10:07:00,WARRANTS,Tuesday,SOUTHERN,ARREST,BOOKED
25/02/2011,19:30:00,LARCENY\/THEFT,Friday,SOUTHERN,NONE,
05/03/2004,12:54:00,LARCENY\/THEFT,Friday,NORTHERN,ARREST,BOOKED
19/04/2013,15:55:00,NON-CRIMINAL,Friday,MISSION,PSYCHOPATHIC CASE,
13/06/2005,20:06:00,VEHICLE THEFT,Monday,BAYVIEW,ARREST,BOOKED
08/12/2009,10:00:00,NON-CRIMINAL,Tuesday,PARK,NONE,
14/12/2012,18:24:00,LARCENY\/THEFT,Friday,TENDERLOIN,ARREST,CITED
15/12/2006,19:30:00,BURGLARY,Friday,SOUTHERN,NONE,
28/05/2012,03:44:00,VANDALISM,Monday,SOUTHERN,NONE,
22/09/2010,00:01:00,NON-CRIMINAL,Wednesday,MISSION,NONE,
15/11/2007,22:00:00,DRUG\/NARCOTIC,Thursday,TENDERLOIN,ARREST,BOOKED
21/02/2007,18:09:00,VANDALISM,Wednesday,PARK,NONE,
08/05/2010,16:00:00,VEHICLE THEFT,Saturday,INGLESIDE,NONE,
23/08/2011,10:28:00,NON-CRIMINAL,Tuesday,MISSION,NONE,
16/07/2010,21:00:00,LARCENY\/THEFT,Friday,PARK,NONE,
24/12/2009,08:30:00,VEHICLE THEFT,Thursday,MISSION,NONE,
29/01/2012,01:30:00,ROBBERY,Sunday,TENDERLOIN,NONE,
22/02/2010,15:00:00,LARCENY\/THEFT,Monday,PARK,NONE,
25/01/2006,12:47:00,OTHER OFFENSES,Wednesday,INGLESIDE,NONE,
13/08/2005,20:30:00,VEHICLE THEFT,Saturday,TARAVAL,NONE,
24/08/2010,16:00:00,LARCENY\/THEFT,Tuesday,CENTRAL,NONE,
15/09/2009,01:00:00,LARCENY\/THEFT,Tuesday,INGLESIDE,NONE,
27/11/2013,16:30:00,BURGLARY,Wednesday,INGLESIDE,NONE,
18/02/2014,08:15:00,LARCENY\/THEFT,Tuesday,BAYVIEW,NONE,
27/05/2009,13:30:00,LARCENY\/THEFT,Wednesday,SOUTHERN,ARREST,BOOKED
17/07/2005,17:25:00,ASSAULT,Sunday,NORTHERN,ARREST,BOOKED
18/10/2012,17:22:00,OTHER OFFENSES,Thursday,SOUTHERN,ARREST,BOOKED
30/06/2012,19:43:00,SUSPICIOUS OCC,Saturday,BAYVIEW,ARREST,CITED
07/01/2008,21:45:00,ROBBERY,Monday,INGLESIDE,NONE,
23/08/2013,13:00:00,LARCENY\/THEFT,Friday,RICHMOND,NONE,
23/12/2004,14:00:00,NON-CRIMINAL,Thursday,SOUTHERN,UNFOUNDED,
27/06/2007,12:05:00,LARCENY\/THEFT,Wednesday,NORTHERN,NONE,
27/01/2012,12:00:00,VEHICLE THEFT,Friday,INGLESIDE,NONE,
14/10/2008,23:30:00,LARCENY\/THEFT,Tuesday,NORTHERN,NONE,
19/09/2014,06:00:00,NON-CRIMINAL,Friday,CENTRAL,NONE,
30/07/2005,22:00:00,LARCENY\/THEFT,Saturday,NORTHERN,NONE,
12/11/2004,21:41:00,LIQUOR LAWS,Friday,SOUTHERN,ARREST,BOOKED
17/06/2006,16:59:00,OTHER OFFENSES,Saturday,RICHMOND,PROSECUTED FOR LESSER OFFENSE,
05/08/2013,13:30:00,OTHER OFFENSES,Monday,SOUTHERN,COMPLAINANT REFUSES TO PROSECUTE,
14/07/2006,20:00:00,LARCENY\/THEFT,Friday,NORTHERN,NONE,
21/05/2005,08:00:00,NON-CRIMINAL,Saturday,RICHMOND,UNFOUNDED,
17/12/2006,02:45:00,BURGLARY,Sunday,SOUTHERN,NONE,
28/01/2005,21:00:00,FRAUD,Friday,CENTRAL,NONE,
06/10/2007,12:00:00,VANDALISM,Saturday,INGLESIDE,NONE,
18/08/2003,17:30:00,VEHICLE THEFT,Monday,INGLESIDE,NONE,
28/06/2009,02:50:00,PROSTITUTION,Sunday,NORTHERN,JUVENILE BOOKED,
15/09/2008,19:24:00,RECOVERED VEHICLE,Monday,MISSION,NONE,
22/10/2005,17:44:00,WARRANTS,Saturday,RICHMOND,ARREST,BOOKED
26/01/2014,03:13:00,SUSPICIOUS OCC,Sunday,BAYVIEW,NONE,
19/02/2014,20:00:00,LARCENY\/THEFT,Wednesday,NORTHERN,NONE,
03/10/2005,22:25:00,ROBBERY,Monday,CENTRAL,NONE,
07/08/2014,17:40:00,LARCENY\/THEFT,Thursday,INGLESIDE,NONE,
18/04/2014,13:21:00,WEAPON LAWS,Friday,PARK,ARREST,BOOKED
15/04/2004,10:15:00,ASSAULT,Thursday,NORTHERN,NONE,
25/01/2008,17:38:00,OTHER OFFENSES,Friday,CENTRAL,NONE,
04/05/2011,02:08:00,ASSAULT,Wednesday,MISSION,ARREST,BOOKED
31/03/2015,05:30:00,NON-CRIMINAL,Tuesday,MISSION,NONE,
25/07/2007,18:31:00,OTHER OFFENSES,Wednesday,MISSION,ARREST,CITED
02/09/2013,10:45:00,LARCENY\/THEFT,Monday,NORTHERN,NONE,
18/10/2009,12:40:00,LARCENY\/THEFT,Sunday,CENTRAL,NONE,
25/01/2003,18:00:00,LARCENY\/THEFT,Saturday,SOUTHERN,NONE,
23/03/2006,16:30:00,NON-CRIMINAL,Thursday,RICHMOND,NONE,
18/10/2010,18:00:00,MISSING PERSON,Monday,BAYVIEW,LOCATED,
06/04/2005,16:00:00,FRAUD,Wednesday,TARAVAL,NONE,
10/08/2003,20:00:00,VANDALISM,Sunday,SOUTHERN,ARREST,BOOKED
12/07/2013,14:00:00,OTHER OFFENSES,Friday,CENTRAL,NONE,
23/10/2011,01:36:00,WEAPON LAWS,Sunday,CENTRAL,ARREST,BOOKED
07/04/2010,10:50:00,ASSAULT,Wednesday,TARAVAL,NONE,
29/10/2014,00:20:00,ASSAULT,Wednesday,MISSION,ARREST,BOOKED
11/12/2004,22:30:00,VEHICLE THEFT,Saturday,MISSION,NONE,
18/12/2010,19:00:00,LARCENY\/THEFT,Saturday,TENDERLOIN,NONE,
28/09/2004,08:30:00,LARCENY\/THEFT,Tuesday,NORTHERN,NONE,
07/01/2004,16:55:00,ASSAULT,Wednesday,TENDERLOIN,ARREST,CITED
18/10/2006,18:30:00,LARCENY\/THEFT,Wednesday,NORTHERN,NONE,
28/07/2005,01:25:00,DRUNKENNESS,Thursday,TARAVAL,NONE,
31/10/2014,22:00:00,MISSING PERSON,Friday,TENDERLOIN,NONE,
03/11/2005,12:11:00,DRUG\/NARCOTIC,Thursday,INGLESIDE,ARREST,BOOKED
30/07/2006,16:30:00,VEHICLE THEFT,Sunday,CENTRAL,UNFOUNDED,
05/03/2012,11:00:00,NON-CRIMINAL,Monday,INGLESIDE,NONE,
04/02/2009,08:00:00,BURGLARY,Wednesday,NORTHERN,NONE,
05/10/2010,19:29:00,WARRANTS,Tuesday,TARAVAL,ARREST,BOOKED
27/07/2005,13:04:00,NON-CRIMINAL,Wednesday,CENTRAL,UNFOUNDED,
16/11/2003,03:05:00,ASSAULT,Sunday,NORTHERN,NONE,
27/06/2013,20:30:00,VANDALISM,Thursday,RICHMOND,NONE,
01/05/2003,00:01:00,SEX OFFENSES NON FORCIBLE,Thursday,TARAVAL,NONE,
24/07/2009,09:00:00,LARCENY\/THEFT,Friday,MISSION,NONE,
05/12/2010,12:00:00,SUSPICIOUS OCC,Sunday,TENDERLOIN,NONE,
30/04/2012,02:00:00,OTHER OFFENSES,Monday,BAYVIEW,NONE,
31/05/2006,01:06:00,DRUG\/NARCOTIC,Wednesday,MISSION,ARREST,BOOKED
08/04/2005,11:00:00,ASSAULT,Friday,TARAVAL,ARREST,BOOKED
27/06/2011,09:00:00,MISSING PERSON,Monday,BAYVIEW,LOCATED,
18/02/2003,01:18:00,OTHER OFFENSES,Tuesday,SOUTHERN,ARREST,CITED
21/04/2010,17:46:00,OTHER OFFENSES,Wednesday,MISSION,ARREST,BOOKED
04/09/2003,23:05:00,OTHER OFFENSES,Thursday,MISSION,ARREST,CITED
14/11/2004,23:14:00,DRUG\/NARCOTIC,Sunday,NORTHERN,ARREST,BOOKED
28/12/2008,03:30:00,ASSAULT,Sunday,MISSION,NONE,
02/02/2015,23:00:00,VANDALISM,Monday,BAYVIEW,NONE,
25/07/2007,20:24:00,OTHER OFFENSES,Wednesday,TENDERLOIN,NONE,
16/07/2010,22:00:00,MISSING PERSON,Friday,TARAVAL,LOCATED,
07/04/2012,07:30:00,NON-CRIMINAL,Saturday,RICHMOND,NONE,
01/11/2010,20:00:00,VANDALISM,Monday,MISSION,NONE,
07/03/2008,08:00:00,LARCENY\/THEFT,Friday,INGLESIDE,NONE,
16/01/2011,09:10:00,LOITERING,Sunday,NORTHERN,ARREST,CITED
15/12/2010,21:57:00,ASSAULT,Wednesday,TENDERLOIN,NONE,
10/08/2013,16:35:00,WEAPON LAWS,Saturday,TARAVAL,ARREST,BOOKED
16/04/2007,19:10:00,OTHER OFFENSES,Monday,BAYVIEW,ARREST,CITED
30/06/2011,07:55:00,LARCENY\/THEFT,Thursday,MISSION,NONE,
13/12/2010,15:16:00,LARCENY\/THEFT,Monday,MISSION,ARREST,CITED
24/09/2006,21:15:00,NON-CRIMINAL,Sunday,TARAVAL,NONE,
26/05/2004,12:00:00,NON-CRIMINAL,Wednesday,BAYVIEW,NONE,
16/03/2009,08:30:00,ROBBERY,Monday,NORTHERN,COMPLAINANT REFUSES TO PROSECUTE,
17/07/2011,19:40:00,BURGLARY,Sunday,INGLESIDE,ARREST,BOOKED
01/04/2008,15:40:00,WARRANTS,Tuesday,TENDERLOIN,ARREST,BOOKED
16/05/2012,15:54:00,OTHER OFFENSES,Wednesday,SOUTHERN,JUVENILE CITED,
07/10/2010,12:29:00,WEAPON LAWS,Thursday,TARAVAL,ARREST,BOOKED
05/10/2005,19:00:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
11/12/2012,00:47:00,RECOVERED VEHICLE,Tuesday,MISSION,NONE,
09/12/2009,20:15:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
02/11/2013,23:00:00,MISSING PERSON,Saturday,SOUTHERN,LOCATED,
08/10/2011,03:36:00,ASSAULT,Saturday,PARK,ARREST,BOOKED
19/01/2004,10:10:00,ASSAULT,Monday,CENTRAL,ARREST,CITED
15/09/2009,17:00:00,LARCENY\/THEFT,Tuesday,PARK,NONE,
03/05/2011,22:30:00,NON-CRIMINAL,Tuesday,RICHMOND,NONE,
20/03/2013,12:00:00,OTHER OFFENSES,Wednesday,PARK,NONE,
10/04/2010,00:15:00,PROSTITUTION,Saturday,MISSION,ARREST,BOOKED
16/10/2012,22:00:00,VEHICLE THEFT,Tuesday,MISSION,NONE,
18/04/2014,01:34:00,NON-CRIMINAL,Friday,SOUTHERN,PSYCHOPATHIC CASE,
26/06/2012,17:50:00,ASSAULT,Tuesday,TENDERLOIN,ARREST,BOOKED
09/10/2005,03:18:00,SUSPICIOUS OCC,Sunday,PARK,NONE,
29/09/2004,13:00:00,LARCENY\/THEFT,Wednesday,PARK,NONE,
01/10/2009,02:00:00,OTHER OFFENSES,Thursday,SOUTHERN,NONE,
26/12/2008,00:01:00,NON-CRIMINAL,Friday,RICHMOND,NONE,
21/08/2003,12:45:00,WARRANTS,Thursday,MISSION,ARREST,BOOKED
10/09/2011,15:30:00,STOLEN PROPERTY,Saturday,MISSION,NONE,
06/08/2008,23:20:00,DRUG\/NARCOTIC,Wednesday,MISSION,ARREST,BOOKED
16/11/2008,00:01:00,OTHER OFFENSES,Sunday,BAYVIEW,ARREST,CITED
07/10/2012,14:56:00,WARRANTS,Sunday,PARK,ARREST,BOOKED
16/12/2010,22:25:00,LARCENY\/THEFT,Thursday,CENTRAL,NONE,
31/07/2005,13:08:00,SUSPICIOUS OCC,Sunday,BAYVIEW,NONE,
08/03/2007,20:45:00,NON-CRIMINAL,Thursday,PARK,NONE,
14/04/2003,17:00:00,VANDALISM,Monday,BAYVIEW,NONE,
24/01/2014,09:00:00,NON-CRIMINAL,Friday,TARAVAL,PROSECUTED BY OUTSIDE AGENCY,
25/09/2011,14:31:00,LARCENY\/THEFT,Sunday,TENDERLOIN,ARREST,BOOKED
28/06/2009,13:30:00,LARCENY\/THEFT,Sunday,CENTRAL,NONE,
28/10/2003,18:00:00,VEHICLE THEFT,Tuesday,MISSION,NONE,
28/10/2014,07:00:00,MISSING PERSON,Tuesday,SOUTHERN,NONE,
11/07/2009,08:00:00,BURGLARY,Saturday,BAYVIEW,NONE,
04/03/2003,16:05:00,ROBBERY,Tuesday,SOUTHERN,COMPLAINANT REFUSES TO PROSECUTE,
12/11/2013,14:34:00,NON-CRIMINAL,Tuesday,INGLESIDE,PROSECUTED BY OUTSIDE AGENCY,
27/11/2012,12:55:00,SUSPICIOUS OCC,Tuesday,NORTHERN,NONE,
29/06/2012,17:53:00,WARRANTS,Friday,PARK,ARREST,BOOKED
10/07/2006,18:30:00,NON-CRIMINAL,Monday,SOUTHERN,NONE,
08/03/2014,19:00:00,LARCENY\/THEFT,Saturday,PARK,NONE,
26/05/2003,22:10:00,ASSAULT,Monday,INGLESIDE,NONE,
16/03/2015,17:07:00,DRUNKENNESS,Monday,SOUTHERN,ARREST,BOOKED
30/03/2015,09:00:00,NON-CRIMINAL,Monday,RICHMOND,NONE,
04/04/2011,17:52:00,DRUG\/NARCOTIC,Monday,MISSION,ARREST,BOOKED
16/12/2011,19:00:00,SEX OFFENSES FORCIBLE,Friday,CENTRAL,NONE,
04/05/2010,21:16:00,SECONDARY CODES,Tuesday,BAYVIEW,NONE,
22/10/2011,15:30:00,NON-CRIMINAL,Saturday,NORTHERN,NONE,
17/05/2009,16:12:00,WARRANTS,Sunday,SOUTHERN,ARREST,BOOKED
08/03/2010,21:20:00,VANDALISM,Monday,MISSION,NONE,
06/03/2009,07:50:00,NON-CRIMINAL,Friday,INGLESIDE,NONE,
19/02/2014,19:00:00,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE,
15/11/2012,21:27:00,ROBBERY,Thursday,NORTHERN,NONE,
13/07/2003,13:57:00,DRUG\/NARCOTIC,Sunday,NORTHERN,ARREST,BOOKED
05/09/2009,15:30:00,VANDALISM,Saturday,CENTRAL,NONE,
12/07/2014,23:00:00,VEHICLE THEFT,Saturday,CENTRAL,NONE,
07/07/2003,18:00:00,ROBBERY,Monday,RICHMOND,NONE,
27/05/2014,07:20:00,ASSAULT,Tuesday,NORTHERN,NONE,
08/04/2010,17:52:00,ASSAULT,Thursday,MISSION,ARREST,CITED
04/05/2010,17:20:00,WARRANTS,Tuesday,PARK,ARREST,BOOKED
02/06/2007,15:00:00,NON-CRIMINAL,Saturday,NORTHERN,NONE,
21/03/2014,17:45:00,WEAPON LAWS,Friday,BAYVIEW,ARREST,BOOKED
27/05/2009,17:42:00,NON-CRIMINAL,Wednesday,SOUTHERN,ARREST,BOOKED
15/08/2010,04:30:00,DISORDERLY CONDUCT,Sunday,MISSION,ARREST,BOOKED
01/06/2006,20:00:00,LARCENY\/THEFT,Thursday,RICHMOND,NONE,
22/03/2009,15:53:00,WARRANTS,Sunday,PARK,ARREST,BOOKED
29/05/2014,10:19:00,NON-CRIMINAL,Thursday,RICHMOND,NONE,
30/05/2009,12:13:00,OTHER OFFENSES,Saturday,NORTHERN,ARREST,BOOKED
03/05/2010,11:30:00,MISSING PERSON,Monday,BAYVIEW,LOCATED,
18/10/2003,22:00:00,VEHICLE THEFT,Saturday,MISSION,ARREST,BOOKED
30/05/2004,15:45:00,LARCENY\/THEFT,Sunday,CENTRAL,NONE,
01/10/2004,00:01:00,FRAUD,Friday,CENTRAL,NONE,
04/03/2014,10:45:00,LARCENY\/THEFT,Tuesday,INGLESIDE,NONE,
29/11/2011,12:00:00,NON-CRIMINAL,Tuesday,RICHMOND,NONE,
09/03/2003,21:00:00,NON-CRIMINAL,Sunday,BAYVIEW,NONE,
21/03/2014,23:45:00,LARCENY\/THEFT,Friday,BAYVIEW,NONE,
26/11/2009,22:00:00,LARCENY\/THEFT,Thursday,NORTHERN,NONE,
28/05/2013,18:45:00,NON-CRIMINAL,Tuesday,RICHMOND,NONE,
28/04/2015,07:00:00,MISSING PERSON,Tuesday,TARAVAL,NONE,
