Day,Month,Years,Hour,Category,DayOfWeek,PdDistrict,Resolution                                                                        
31,5,2005,9,SUSPICIOUS OCC,Tuesday,SOUTHERN,NOT PROSECUTED
31,3,2014,2,DRUNKENNESS,Monday,SOUTHERN,ARREST
31,5,2012,9,OTHER OFFENSES,Thursday,RICHMOND,NONE
21,9,2014,8,VEHICLE THEFT,Sunday,RICHMOND,NONE
1,6,2012,20,LARCENY\/THEFT,Friday,BAYVIEW,NONE
17,2,2014,22,OTHER OFFENSES,Monday,BAYVIEW,ARREST
6,5,2007,1,ASSAULT,Sunday,SOUTHERN,NONE
10,1,2005,18,VEHICLE THEFT,Monday,MISSION,NONE
28,4,2008,14,VANDALISM,Monday,CENTRAL,NONE
16,5,2013,12,NON-CRIMINAL,Thursday,TENDERLOIN,PSYCHOPATHIC CASE
22,10,2010,19,FORGERY\/COUNTERFEITING,Friday,TENDERLOIN,ARREST
10,3,2012,0,NON-CRIMINAL,Saturday,SOUTHERN,NONE
6,6,2010,12,LARCENY\/THEFT,Sunday,PARK,NONE
20,8,2009,8,DRUG\/NARCOTIC,Thursday,TENDERLOIN,ARREST
11,3,2012,12,LARCENY\/THEFT,Sunday,MISSION,NONE
15,11,2006,16,ASSAULT,Wednesday,MISSION,NONE
21,3,2012,23,BURGLARY,Wednesday,MISSION,NONE
29,11,2006,12,NON-CRIMINAL,Wednesday,NORTHERN,NONE
6,2,2007,19,BURGLARY,Tuesday,NORTHERN,NONE
19,8,2014,23,VANDALISM,Tuesday,CENTRAL,NONE
8,7,2003,16,LARCENY\/THEFT,Tuesday,TARAVAL,JUVENILE CITED
4,10,2010,13,SUSPICIOUS OCC,Monday,SOUTHERN,NONE
2,11,2014,8,LARCENY\/THEFT,Sunday,INGLESIDE,NONE
10,9,2005,22,VEHICLE THEFT,Saturday,TARAVAL,NONE
1,4,2014,13,STOLEN PROPERTY,Tuesday,CENTRAL,ARREST
17,2,2004,14,BURGLARY,Tuesday,TARAVAL,NONE
25,1,2014,22,LARCENY\/THEFT,Saturday,SOUTHERN,NONE
28,5,2014,19,VEHICLE THEFT,Wednesday,PARK,NONE
8,10,2010,20,VEHICLE THEFT,Friday,INGLESIDE,NONE
19,4,2009,6,BURGLARY,Sunday,SOUTHERN,ARREST
8,1,2007,12,SUSPICIOUS OCC,Monday,CENTRAL,NONE
4,9,2008,8,MISSING PERSON,Thursday,INGLESIDE,LOCATED
27,11,2012,19,PROSTITUTION,Tuesday,TENDERLOIN,ARREST
10,2,2006,10,ASSAULT,Friday,MISSION,JUVENILE CITED
16,11,2014,0,DRUNKENNESS,Sunday,PARK,ARREST
9,12,2008,16,ASSAULT,Tuesday,SOUTHERN,NONE
9,1,2013,14,VEHICLE THEFT,Wednesday,SOUTHERN,NONE
26,8,2007,14,LARCENY\/THEFT,Sunday,CENTRAL,NONE
6,2,2003,17,WARRANTS,Thursday,PARK,ARREST
12,2,2006,15,NON-CRIMINAL,Sunday,SOUTHERN,NONE
29,11,2011,12,SUSPICIOUS OCC,Tuesday,SOUTHERN,NONE
12,1,2007,22,VEHICLE THEFT,Friday,SOUTHERN,NONE
1,10,2003,17,OTHER OFFENSES,Wednesday,INGLESIDE,ARREST
12,1,2011,6,VANDALISM,Wednesday,SOUTHERN,NONE
5,2,2014,19,ASSAULT,Wednesday,BAYVIEW,NONE
28,4,2008,0,ROBBERY,Monday,RICHMOND,NONE
24,3,2013,18,LARCENY\/THEFT,Sunday,CENTRAL,NONE
27,11,2013,20,OTHER OFFENSES,Wednesday,BAYVIEW,ARREST
23,2,2003,2,DRUG\/NARCOTIC,Sunday,SOUTHERN,ARREST
25,6,2003,17,VEHICLE THEFT,Wednesday,BAYVIEW,NONE
13,12,2009,21,VANDALISM,Sunday,CENTRAL,NONE
24,4,2010,13,VANDALISM,Saturday,INGLESIDE,NONE
16,9,2009,17,BURGLARY,Wednesday,SOUTHERN,ARREST
13,11,2013,18,DRUG\/NARCOTIC,Wednesday,MISSION,ARREST
11,12,2009,18,OTHER OFFENSES,Friday,MISSION,NONE
22,4,2010,3,VANDALISM,Thursday,SOUTHERN,NONE
30,5,2003,16,LARCENY\/THEFT,Friday,SOUTHERN,ARREST
13,11,2009,22,OTHER OFFENSES,Friday,SOUTHERN,ARREST
1,9,2003,4,NON-CRIMINAL,Monday,TENDERLOIN,PSYCHOPATHIC CASE
10,2,2011,21,LARCENY\/THEFT,Thursday,BAYVIEW,COMPLAINANT REFUSES TO PROSECUTE
26,11,2004,22,VANDALISM,Friday,SOUTHERN,NONE
3,4,2008,18,LARCENY\/THEFT,Thursday,INGLESIDE,NONE
1,6,2014,22,ROBBERY,Sunday,CENTRAL,NONE
7,1,2013,15,STOLEN PROPERTY,Monday,BAYVIEW,JUVENILE BOOKED
9,8,2008,15,SEX OFFENSES FORCIBLE,Saturday,SOUTHERN,NONE
1,5,2009,11,NON-CRIMINAL,Friday,SOUTHERN,NONE
25,1,2008,22,LARCENY\/THEFT,Friday,NORTHERN,NONE
19,3,2004,16,LARCENY\/THEFT,Friday,CENTRAL,NONE
7,3,2015,1,NON-CRIMINAL,Saturday,MISSION,ARREST
27,1,2012,12,OTHER OFFENSES,Friday,TARAVAL,NONE
30,12,2005,20,ROBBERY,Friday,BAYVIEW,NONE
5,5,2005,17,VANDALISM,Thursday,NORTHERN,NONE
13,10,2003,0,OTHER OFFENSES,Monday,NORTHERN,ARREST
7,2,2014,11,BURGLARY,Friday,BAYVIEW,NONE
10,9,2010,2,LARCENY\/THEFT,Friday,MISSION,NONE
16,12,2005,19,OTHER OFFENSES,Friday,PARK,ARREST
19,3,2012,16,NON-CRIMINAL,Monday,MISSION,NONE
6,9,2010,19,ASSAULT,Monday,CENTRAL,NONE
17,4,2008,5,LARCENY\/THEFT,Thursday,TARAVAL,NONE
21,8,2008,21,VEHICLE THEFT,Thursday,MISSION,NONE
29,5,2003,11,OTHER OFFENSES,Thursday,BAYVIEW,ARREST
11,7,2004,1,NON-CRIMINAL,Sunday,BAYVIEW,NONE
16,7,2010,15,ASSAULT,Friday,BAYVIEW,ARREST
16,5,2003,15,DRUG\/NARCOTIC,Friday,NORTHERN,ARREST
9,3,2008,13,OTHER OFFENSES,Sunday,INGLESIDE,PSYCHOPATHIC CASE
3,2,2009,18,DRUG\/NARCOTIC,Tuesday,TENDERLOIN,ARREST
21,9,2010,19,LARCENY\/THEFT,Tuesday,PARK,NONE
8,3,2009,16,VEHICLE THEFT,Sunday,RICHMOND,NONE
22,4,2011,14,BURGLARY,Friday,SOUTHERN,ARREST
2,11,2010,22,OTHER OFFENSES,Tuesday,NORTHERN,ARREST
21,10,2006,9,LARCENY\/THEFT,Saturday,SOUTHERN,NONE
10,5,2004,22,VEHICLE THEFT,Monday,MISSION,NONE
16,3,2004,15,OTHER OFFENSES,Tuesday,NORTHERN,ARREST
30,10,2007,15,LARCENY\/THEFT,Tuesday,INGLESIDE,NONE
30,9,2008,18,DRUG\/NARCOTIC,Tuesday,TENDERLOIN,JUVENILE CITED
17,8,2009,9,LARCENY\/THEFT,Monday,INGLESIDE,NONE
22,2,2003,17,LARCENY\/THEFT,Saturday,NORTHERN,NONE
27,2,2010,10,BURGLARY,Saturday,NORTHERN,NONE
16,10,2014,10,LARCENY\/THEFT,Thursday,TENDERLOIN,NONE
28,7,2013,8,LARCENY\/THEFT,Sunday,CENTRAL,NONE
18,3,2008,20,ASSAULT,Tuesday,BAYVIEW,NONE
8,1,2007,15,FRAUD,Monday,TARAVAL,NONE
19,1,2015,16,SECONDARY CODES,Monday,SOUTHERN,NONE
6,9,2003,10,OTHER OFFENSES,Saturday,NORTHERN,ARREST
30,1,2010,23,VANDALISM,Saturday,MISSION,NONE
1,11,2005,15,SUSPICIOUS OCC,Tuesday,PARK,NONE
18,4,2009,10,LARCENY\/THEFT,Saturday,NORTHERN,NONE
18,9,2003,13,OTHER OFFENSES,Thursday,NORTHERN,ARREST
27,7,2006,14,RECOVERED VEHICLE,Thursday,BAYVIEW,NONE
3,5,2008,0,WARRANTS,Saturday,CENTRAL,ARREST
28,11,2008,12,OTHER OFFENSES,Friday,SOUTHERN,ARREST
6,9,2006,16,ASSAULT,Wednesday,CENTRAL,NONE
4,10,2011,22,BURGLARY,Tuesday,TARAVAL,NONE
28,6,2013,17,ASSAULT,Friday,TENDERLOIN,ARREST
13,7,2005,15,BURGLARY,Wednesday,BAYVIEW,ARREST
6,7,2004,18,LARCENY\/THEFT,Tuesday,RICHMOND,NONE
21,3,2009,13,LARCENY\/THEFT,Saturday,RICHMOND,NONE
6,8,2013,8,VANDALISM,Tuesday,PARK,NONE
5,11,2006,13,ASSAULT,Sunday,TENDERLOIN,NONE
2,4,2004,17,OTHER OFFENSES,Friday,SOUTHERN,ARREST
6,2,2003,14,DRUG\/NARCOTIC,Thursday,MISSION,ARREST
7,10,2011,23,VANDALISM,Friday,MISSION,NONE
21,4,2007,12,FORGERY\/COUNTERFEITING,Saturday,PARK,NONE
14,12,2007,23,ASSAULT,Friday,INGLESIDE,NONE
2,8,2004,9,OTHER OFFENSES,Monday,SOUTHERN,ARREST
23,6,2004,14,LARCENY\/THEFT,Wednesday,CENTRAL,NONE
26,7,2009,3,VEHICLE THEFT,Sunday,BAYVIEW,NONE
17,2,2014,21,OTHER OFFENSES,Monday,BAYVIEW,ARREST
9,4,2010,12,FRAUD,Friday,SOUTHERN,NONE
1,11,2011,6,STOLEN PROPERTY,Tuesday,BAYVIEW,ARREST
24,3,2006,22,LARCENY\/THEFT,Friday,NORTHERN,NONE
23,3,2010,20,LARCENY\/THEFT,Tuesday,SOUTHERN,NONE
26,7,2003,11,ASSAULT,Saturday,SOUTHERN,NONE
26,7,2012,22,PROSTITUTION,Thursday,MISSION,ARREST
18,4,2003,9,NON-CRIMINAL,Friday,MISSION,NONE
8,1,2015,11,WARRANTS,Thursday,CENTRAL,ARREST
21,9,2007,17,BURGLARY,Friday,NORTHERN,NONE
5,8,2008,8,SUSPICIOUS OCC,Tuesday,RICHMOND,NONE
5,5,2013,18,ASSAULT,Sunday,INGLESIDE,ARREST
27,11,2008,22,NON-CRIMINAL,Thursday,TENDERLOIN,PSYCHOPATHIC CASE
8,3,2012,23,LARCENY\/THEFT,Thursday,NORTHERN,NONE
7,3,2011,11,WEAPON LAWS,Monday,BAYVIEW,JUVENILE CITED
14,11,2013,18,NON-CRIMINAL,Thursday,PARK,NONE
19,10,2003,0,LARCENY\/THEFT,Sunday,TENDERLOIN,NONE
26,1,2013,13,SUSPICIOUS OCC,Saturday,TARAVAL,NONE
30,4,2013,10,SECONDARY CODES,Tuesday,TARAVAL,COMPLAINANT REFUSES TO PROSECUTE
23,3,2006,17,WARRANTS,Thursday,MISSION,ARREST
21,3,2009,22,WARRANTS,Saturday,TENDERLOIN,ARREST
19,6,2011,18,VEHICLE THEFT,Sunday,SOUTHERN,NONE
24,11,2008,0,LARCENY\/THEFT,Monday,MISSION,NONE
5,3,2003,5,WARRANTS,Wednesday,MISSION,ARREST
1,1,2012,3,ROBBERY,Sunday,MISSION,NONE
22,8,2008,14,NON-CRIMINAL,Friday,SOUTHERN,NONE
15,4,2003,11,ASSAULT,Tuesday,NORTHERN,ARREST
4,2,2015,12,OTHER OFFENSES,Wednesday,TENDERLOIN,ARREST
10,4,2011,14,LARCENY\/THEFT,Sunday,PARK,NONE
27,3,2010,12,LARCENY\/THEFT,Saturday,CENTRAL,NONE
8,3,2010,14,LARCENY\/THEFT,Monday,NORTHERN,NONE
17,4,2006,18,NON-CRIMINAL,Monday,NORTHERN,NONE
4,3,2004,21,NON-CRIMINAL,Thursday,SOUTHERN,NONE
27,6,2005,18,OTHER OFFENSES,Monday,TENDERLOIN,ARREST
13,1,2005,0,DRUG\/NARCOTIC,Thursday,BAYVIEW,ARREST
25,6,2004,0,OTHER OFFENSES,Friday,CENTRAL,ARREST
14,11,2003,10,NON-CRIMINAL,Friday,BAYVIEW,NONE
20,3,2007,14,ASSAULT,Tuesday,NORTHERN,ARREST
18,10,2009,0,LARCENY\/THEFT,Sunday,INGLESIDE,NONE
30,5,2003,8,MISSING PERSON,Friday,INGLESIDE,NONE
9,2,2003,18,OTHER OFFENSES,Sunday,MISSION,ARREST
21,5,2006,19,ASSAULT,Sunday,NORTHERN,ARREST
30,6,2013,17,WEAPON LAWS,Sunday,SOUTHERN,ARREST
30,5,2012,21,TRESPASS,Wednesday,PARK,NONE
7,2,2012,18,NON-CRIMINAL,Tuesday,MISSION,NONE
7,3,2008,16,OTHER OFFENSES,Friday,BAYVIEW,ARREST
29,4,2015,22,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE
12,12,2003,11,WEAPON LAWS,Friday,BAYVIEW,JUVENILE ADMONISHED
22,1,2009,20,VEHICLE THEFT,Thursday,MISSION,NONE
14,10,2013,1,LARCENY\/THEFT,Monday,SOUTHERN,NONE
15,11,2011,5,ASSAULT,Tuesday,MISSION,NONE
4,10,2008,23,VANDALISM,Saturday,BAYVIEW,NONE
7,4,2013,7,WARRANTS,Sunday,SOUTHERN,ARREST
6,8,2003,14,NON-CRIMINAL,Wednesday,RICHMOND,NONE
11,7,2004,10,FRAUD,Sunday,NORTHERN,PROSECUTED BY OUTSIDE AGENCY
10,6,2003,11,DRUG\/NARCOTIC,Tuesday,BAYVIEW,ARREST
13,11,2012,7,WARRANTS,Tuesday,INGLESIDE,ARREST
14,3,2010,21,LARCENY\/THEFT,Sunday,NORTHERN,NONE
9,2,2010,10,OTHER OFFENSES,Tuesday,BAYVIEW,ARREST
21,4,2010,16,VANDALISM,Wednesday,TARAVAL,JUVENILE BOOKED
12,12,2006,7,OTHER OFFENSES,Tuesday,BAYVIEW,NONE
1,1,2012,4,VANDALISM,Sunday,MISSION,NONE
24,9,2006,20,VEHICLE THEFT,Sunday,NORTHERN,NONE
14,6,2009,19,ROBBERY,Sunday,SOUTHERN,JUVENILE ADMONISHED
1,11,2012,0,LARCENY\/THEFT,Thursday,TARAVAL,NONE
16,3,2015,13,LARCENY\/THEFT,Monday,NORTHERN,NONE
11,5,2015,18,WEAPON LAWS,Monday,INGLESIDE,ARREST
10,2,2007,8,VEHICLE THEFT,Saturday,BAYVIEW,NONE
16,5,2003,20,TRESPASS,Friday,SOUTHERN,ARREST
24,2,2013,8,VANDALISM,Sunday,MISSION,ARREST
18,4,2011,15,LARCENY\/THEFT,Monday,TARAVAL,NONE
18,10,2012,17,OTHER OFFENSES,Thursday,TENDERLOIN,ARREST
21,9,2005,20,WARRANTS,Wednesday,TENDERLOIN,ARREST
31,10,2003,19,NON-CRIMINAL,Friday,SOUTHERN,NONE
27,12,2013,5,BURGLARY,Friday,NORTHERN,NONE
5,3,2014,19,LARCENY\/THEFT,Wednesday,MISSION,NONE
15,6,2005,0,NON-CRIMINAL,Wednesday,SOUTHERN,NOT PROSECUTED
24,12,2003,12,ASSAULT,Wednesday,BAYVIEW,NONE
14,6,2013,23,NON-CRIMINAL,Friday,TENDERLOIN,NONE
22,3,2003,19,VANDALISM,Saturday,RICHMOND,NONE
4,3,2008,21,BURGLARY,Tuesday,NORTHERN,NONE
22,2,2005,12,VEHICLE THEFT,Tuesday,MISSION,NONE
16,2,2004,22,OTHER OFFENSES,Monday,BAYVIEW,ARREST
5,10,2005,14,OTHER OFFENSES,Wednesday,SOUTHERN,ARREST
1,12,2012,8,SECONDARY CODES,Saturday,BAYVIEW,NONE
7,3,2011,17,DRUG\/NARCOTIC,Monday,BAYVIEW,ARREST
10,9,2011,22,LARCENY\/THEFT,Saturday,BAYVIEW,NONE
3,5,2007,10,FORGERY\/COUNTERFEITING,Thursday,TARAVAL,NONE
20,2,2015,14,NON-CRIMINAL,Friday,INGLESIDE,NONE
12,12,2013,19,LARCENY\/THEFT,Thursday,NORTHERN,NONE
3,4,2003,16,LARCENY\/THEFT,Thursday,INGLESIDE,NONE
17,9,2004,22,VEHICLE THEFT,Friday,MISSION,NONE
25,2,2005,1,OTHER OFFENSES,Friday,MISSION,ARREST
25,6,2012,22,SUSPICIOUS OCC,Monday,CENTRAL,NONE
7,12,2009,13,VANDALISM,Monday,BAYVIEW,ARREST
28,4,2003,13,OTHER OFFENSES,Monday,INGLESIDE,NONE
16,10,2013,22,BURGLARY,Wednesday,TARAVAL,NONE
7,7,2004,9,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE
6,5,2012,7,FORGERY\/COUNTERFEITING,Sunday,PARK,NONE
4,5,2011,11,NON-CRIMINAL,Wednesday,MISSION,PSYCHOPATHIC CASE
1,11,2010,10,FRAUD,Monday,RICHMOND,NONE
5,10,2008,8,NON-CRIMINAL,Sunday,NORTHERN,NONE
8,4,2007,17,WARRANTS,Sunday,NORTHERN,ARREST
9,12,2014,17,ASSAULT,Tuesday,MISSION,NONE
5,3,2013,0,LARCENY\/THEFT,Tuesday,BAYVIEW,NONE
31,10,2004,1,ASSAULT,Sunday,SOUTHERN,NONE
31,5,2011,19,VANDALISM,Tuesday,CENTRAL,NONE
4,3,2003,12,ASSAULT,Tuesday,NORTHERN,NONE
22,1,2004,22,SUSPICIOUS OCC,Thursday,BAYVIEW,NONE
4,4,2015,15,LARCENY\/THEFT,Saturday,NORTHERN,NONE
1,9,2004,13,OTHER OFFENSES,Wednesday,NORTHERN,NONE
29,6,2013,23,ASSAULT,Saturday,MISSION,ARREST
19,3,2012,0,ASSAULT,Monday,MISSION,ARREST
13,12,2009,16,LARCENY\/THEFT,Sunday,NORTHERN,NONE
1,10,2014,23,LARCENY\/THEFT,Wednesday,SOUTHERN,NONE
23,4,2011,18,ASSAULT,Saturday,INGLESIDE,NONE
17,10,2011,8,STOLEN PROPERTY,Monday,CENTRAL,ARREST
26,11,2014,19,LARCENY\/THEFT,Wednesday,BAYVIEW,NONE
13,11,2009,16,LARCENY\/THEFT,Friday,CENTRAL,ARREST
7,3,2015,4,WARRANTS,Saturday,PARK,ARREST
11,7,2013,16,DRUG\/NARCOTIC,Thursday,SOUTHERN,ARREST
7,3,2009,20,LARCENY\/THEFT,Saturday,SOUTHERN,NONE
19,4,2011,17,VANDALISM,Tuesday,SOUTHERN,JUVENILE CITED
6,11,2011,12,SUSPICIOUS OCC,Sunday,CENTRAL,NONE
6,8,2007,1,BURGLARY,Monday,SOUTHERN,NONE
4,9,2014,14,OTHER OFFENSES,Thursday,SOUTHERN,NONE
22,4,2005,22,MISSING PERSON,Friday,RICHMOND,NONE
3,6,2010,14,FRAUD,Thursday,MISSION,JUVENILE BOOKED
1,10,2003,9,OTHER OFFENSES,Wednesday,NORTHERN,ARREST
4,9,2006,16,LARCENY\/THEFT,Monday,RICHMOND,NONE
26,7,2007,11,WARRANTS,Thursday,SOUTHERN,ARREST
5,6,2005,21,VEHICLE THEFT,Sunday,PARK,UNFOUNDED
7,4,2012,22,BURGLARY,Saturday,NORTHERN,NONE
15,5,2014,1,VEHICLE THEFT,Thursday,MISSION,NONE
13,4,2015,23,ROBBERY,Monday,INGLESIDE,NONE
26,3,2005,23,VEHICLE THEFT,Saturday,TARAVAL,NONE
14,6,2006,0,FORGERY\/COUNTERFEITING,Wednesday,RICHMOND,PROSECUTED BY OUTSIDE AGENCY
13,1,2006,17,MISSING PERSON,Friday,MISSION,LOCATED
9,2,2010,13,ASSAULT,Tuesday,INGLESIDE,ARREST
10,2,2008,3,WARRANTS,Sunday,NORTHERN,ARREST
16,11,2003,19,SUSPICIOUS OCC,Sunday,SOUTHERN,NONE
3,4,2009,17,BURGLARY,Friday,PARK,NONE
22,2,2006,8,OTHER OFFENSES,Wednesday,SOUTHERN,ARREST
20,5,2006,3,DRUNKENNESS,Saturday,NORTHERN,ARREST
5,8,2013,13,LARCENY\/THEFT,Monday,SOUTHERN,NONE
20,8,2003,21,WEAPON LAWS,Wednesday,INGLESIDE,ARREST
7,9,2008,10,VANDALISM,Sunday,RICHMOND,NONE
31,10,2005,16,VANDALISM,Monday,INGLESIDE,NONE
26,11,2003,15,ROBBERY,Wednesday,MISSION,NONE
28,9,2009,16,LARCENY\/THEFT,Monday,SOUTHERN,NONE
19,2,2009,19,WEAPON LAWS,Thursday,MISSION,ARREST
5,9,2003,17,LARCENY\/THEFT,Friday,INGLESIDE,NONE
29,10,2007,3,VANDALISM,Monday,TENDERLOIN,NONE
29,3,2004,10,DRUG\/NARCOTIC,Monday,MISSION,ARREST
29,5,2014,16,NON-CRIMINAL,Thursday,RICHMOND,NONE
28,4,2014,2,ROBBERY,Monday,MISSION,NONE
14,6,2007,1,DRUG\/NARCOTIC,Thursday,NORTHERN,NONE
30,1,2005,1,LARCENY\/THEFT,Sunday,CENTRAL,NONE
19,5,2010,17,DRUG\/NARCOTIC,Wednesday,TENDERLOIN,ARREST
19,4,2010,20,WARRANTS,Monday,SOUTHERN,ARREST
4,12,2011,12,NON-CRIMINAL,Sunday,TARAVAL,NONE
7,8,2008,12,SUSPICIOUS OCC,Thursday,INGLESIDE,NONE
10,2,2006,13,ASSAULT,Friday,BAYVIEW,NONE
8,2,2013,14,NON-CRIMINAL,Friday,SOUTHERN,PSYCHOPATHIC CASE
16,7,2005,19,OTHER OFFENSES,Saturday,INGLESIDE,ARREST
17,3,2003,0,ROBBERY,Monday,PARK,COMPLAINANT REFUSES TO PROSECUTE
7,1,2003,3,WARRANTS,Tuesday,NORTHERN,ARREST
7,9,2012,12,OTHER OFFENSES,Friday,TARAVAL,NONE
2,4,2003,23,OTHER OFFENSES,Wednesday,PARK,NONE
14,5,2007,11,OTHER OFFENSES,Monday,NORTHERN,ARREST
30,5,2008,15,LARCENY\/THEFT,Friday,NORTHERN,NONE
9,9,2007,23,VEHICLE THEFT,Sunday,MISSION,NONE
1,5,2006,8,BURGLARY,Monday,NORTHERN,NONE
15,11,2007,10,LARCENY\/THEFT,Thursday,CENTRAL,NONE
2,5,2015,16,NON-CRIMINAL,Saturday,INGLESIDE,NONE
21,9,2014,0,OTHER OFFENSES,Sunday,CENTRAL,NONE
28,6,2011,21,LARCENY\/THEFT,Tuesday,MISSION,NONE
22,6,2004,3,VEHICLE THEFT,Tuesday,CENTRAL,NONE
20,9,2011,8,MISSING PERSON,Tuesday,INGLESIDE,LOCATED
27,1,2008,14,LARCENY\/THEFT,Sunday,MISSION,NONE
14,11,2006,15,OTHER OFFENSES,Tuesday,PARK,ARREST
23,1,2008,10,RECOVERED VEHICLE,Wednesday,BAYVIEW,NONE
18,4,2005,13,SUSPICIOUS OCC,Monday,BAYVIEW,NONE
16,10,2003,8,BURGLARY,Thursday,PARK,NONE
7,2,2009,2,ASSAULT,Saturday,RICHMOND,NONE
17,12,2011,8,MISSING PERSON,Saturday,BAYVIEW,LOCATED
2,9,2014,9,VANDALISM,Tuesday,TARAVAL,NONE
4,9,2008,19,ASSAULT,Thursday,BAYVIEW,NONE
4,10,2014,20,NON-CRIMINAL,Saturday,INGLESIDE,NONE
19,9,2004,12,LARCENY\/THEFT,Sunday,NORTHERN,NONE
24,5,2004,14,ASSAULT,Monday,TENDERLOIN,ARREST
25,3,2007,1,LARCENY\/THEFT,Sunday,SOUTHERN,NONE
20,11,2011,15,DRUG\/NARCOTIC,Sunday,SOUTHERN,ARREST
5,2,2008,0,MISSING PERSON,Tuesday,MISSION,LOCATED
13,12,2012,16,DRUG\/NARCOTIC,Thursday,INGLESIDE,ARREST
13,10,2003,13,NON-CRIMINAL,Monday,BAYVIEW,ARREST
27,1,2011,3,DRUG\/NARCOTIC,Thursday,TENDERLOIN,ARREST
28,12,2008,11,NON-CRIMINAL,Sunday,RICHMOND,UNFOUNDED
16,7,2010,23,SECONDARY CODES,Friday,TARAVAL,NONE
3,8,2004,13,WARRANTS,Tuesday,MISSION,ARREST
2,11,2007,13,TRESPASS,Friday,CENTRAL,ARREST
29,5,2009,12,LARCENY\/THEFT,Friday,SOUTHERN,NONE
5,3,2015,19,VANDALISM,Thursday,TENDERLOIN,ARREST
5,8,2008,12,ASSAULT,Tuesday,MISSION,NONE
26,10,2009,17,LARCENY\/THEFT,Monday,SOUTHERN,NONE
14,12,2005,16,DRUG\/NARCOTIC,Wednesday,TENDERLOIN,ARREST
17,11,2012,18,DRUG\/NARCOTIC,Saturday,RICHMOND,ARREST
10,7,2003,13,LARCENY\/THEFT,Thursday,MISSION,ARREST
27,7,2010,8,OTHER OFFENSES,Tuesday,SOUTHERN,ARREST
18,2,2014,14,SECONDARY CODES,Tuesday,RICHMOND,JUVENILE ADMONISHED
4,11,2005,7,NON-CRIMINAL,Friday,BAYVIEW,NONE
17,3,2015,21,LARCENY\/THEFT,Tuesday,BAYVIEW,NONE
22,8,2008,20,LARCENY\/THEFT,Friday,MISSION,NONE
11,2,2007,21,VEHICLE THEFT,Sunday,PARK,NONE
3,9,2004,19,VANDALISM,Friday,SOUTHERN,NONE
23,2,2008,19,VANDALISM,Saturday,TARAVAL,NONE
19,12,2010,14,ASSAULT,Sunday,CENTRAL,ARREST
4,4,2007,12,LARCENY\/THEFT,Wednesday,CENTRAL,NONE
12,5,2004,8,OTHER OFFENSES,Wednesday,SOUTHERN,ARREST
10,5,2004,12,DRUG\/NARCOTIC,Monday,MISSION,ARREST
3,4,2003,0,OTHER OFFENSES,Thursday,SOUTHERN,ARREST
8,8,2011,2,KIDNAPPING,Monday,SOUTHERN,ARREST
29,10,2008,15,ASSAULT,Wednesday,RICHMOND,NONE
7,9,2013,0,NON-CRIMINAL,Saturday,SOUTHERN,NONE
9,6,2009,15,MISSING PERSON,Tuesday,TENDERLOIN,JUVENILE BOOKED
23,2,2013,16,LARCENY\/THEFT,Saturday,CENTRAL,NONE
20,8,2009,21,DRUG\/NARCOTIC,Thursday,SOUTHERN,ARREST
22,1,2014,17,MISSING PERSON,Wednesday,TARAVAL,LOCATED
10,7,2007,10,ASSAULT,Tuesday,TENDERLOIN,ARREST
6,7,2004,11,ASSAULT,Tuesday,INGLESIDE,ARREST
30,10,2013,18,OTHER OFFENSES,Wednesday,BAYVIEW,ARREST
19,4,2012,3,WEAPON LAWS,Thursday,TENDERLOIN,ARREST
11,2,2012,17,OTHER OFFENSES,Saturday,CENTRAL,NONE
2,10,2012,20,MISSING PERSON,Tuesday,NORTHERN,LOCATED
3,5,2011,20,VANDALISM,Tuesday,BAYVIEW,NONE
14,7,2005,11,OTHER OFFENSES,Thursday,MISSION,ARREST
13,9,2004,16,NON-CRIMINAL,Monday,PARK,NONE
5,10,2013,22,VANDALISM,Saturday,TENDERLOIN,NONE
9,7,2007,21,VANDALISM,Monday,CENTRAL,ARREST
11,8,2005,10,LARCENY\/THEFT,Thursday,TENDERLOIN,ARREST
18,5,2013,15,WARRANTS,Saturday,TARAVAL,NONE
31,5,2005,16,VEHICLE THEFT,Tuesday,INGLESIDE,NONE
19,9,2014,23,MISSING PERSON,Friday,SOUTHERN,LOCATED
11,8,2013,7,ROBBERY,Sunday,PARK,NONE
12,11,2003,7,BURGLARY,Wednesday,CENTRAL,NONE
16,11,2012,19,OTHER OFFENSES,Friday,MISSION,ARREST
7,9,2014,14,LARCENY\/THEFT,Sunday,INGLESIDE,NONE
16,11,2013,2,ROBBERY,Saturday,TENDERLOIN,NONE
4,2,2013,18,TRESPASS,Monday,BAYVIEW,NONE
21,3,2008,13,LOITERING,Friday,NORTHERN,ARREST
13,7,2014,19,WARRANTS,Sunday,SOUTHERN,ARREST
8,3,2011,7,TRESPASS,Tuesday,TENDERLOIN,ARREST
30,5,2005,13,LARCENY\/THEFT,Monday,MISSION,NONE
24,4,2011,23,SUSPICIOUS OCC,Sunday,SOUTHERN,NONE
26,1,2006,9,DRUG\/NARCOTIC,Thursday,PARK,ARREST
7,4,2012,19,NON-CRIMINAL,Saturday,MISSION,NONE
26,6,2014,1,OTHER OFFENSES,Thursday,TARAVAL,ARREST
